Well;XCOOR;YCOOR;EOR_Region;RF_Region;Facility;Status
X-8761;1840.698364;1017.329283;4;bati;F1;INJ
X-8831;1361.761552;1483.830272;2;bati;F1;URT
X-8869;3503.206673;602.92221;6;orta;F3;INJSHI
X-8895;1843;1020;4;bati;F1;TERK
X-8918;1746.46261;1309.470778;5;bati;F1;INJSHI
X-8919;3271.645349;1214.336167;7;orta;F3;URT
X-8953;5902.774215;793.8799533;10;dogu;F5;WINJ
X-898;2761.888681;697.1101067;4;bati;F2;DIN
X-8985;2238.64118;904.4202;4;bati;F2;DIN
X-900;6614.566719;695.0773333;10;dogu;F5;WINJ
X-9005;5073.279912;1433.269133;9;dogu;F4;URT
X-9007;3663.839045;1270.90956;7;orta;F3;URT
X-9009;1141.388146;900.3300633;2;bati;F1;DIN
X-9021;6711.195217;855.7115083;10;dogu;F5;INJ
X-9025;6213.786091;944.256;10;dogu;F5;OLUR
X-9029;3721.158752;1307.856035;7;orta;F3;URT
X-9030;5045.759266;918.2930583;8;dogu;F4;DIN
X-9057;4724.196449;811.86344;8;orta;F4;INJSHI
X-9108;3444.123032;816.9740617;6;orta;F3;INJ
X-9142;2803.328893;1206.233762;5;bati;F2;URT
X-9149;5714.829439;1301.310997;9;dogu;F4;URT
X-9186;1966.427698;1459.09683;5;bati;F1;INJ
X-9199;1026.997808;1019.931725;2;bati;F1;INJSHI
X-9212;1647.563864;1301.220833;5;bati;F1;OLUR
X-9242;2030.831725;602.7418833;3;bati;F1;DIN
X-9249;4505.844218;666.78244;8;orta;F4;INJSHI
X-9312;1634.024033;1014.739137;5;bati;F1;URT
X-9329;4022.513903;822.1502567;6;orta;F3;DIN
X-9344;3265.291918;796.1955117;6;bati;F2;DIN
X-9370;3560.371218;1175.115117;7;orta;F3;URT
X-9386;4699.170627;1348.556583;9;orta;F4;URT
X-9412;6948.860898;1006.890828;10;dogu;F5;DIN
X-9505;1485.151224;1390.0727;2;bati;F1;DIN
X-9516;5928.383931;922.1905733;10;dogu;F5;DIN
X-955;4520.988739;1403.408677;7;orta;F3;URT
X-9572;2244.124894;820.5859228;4;bati;F2;DDK
X-9581;1427.390534;607.3279183;2;bati;F1;LOKT
X-9617;6940.429127;1229.2541;11;dogu;F5;URT
X-9652;6529.877445;1003.472818;11;dogu;F5;INJ
X-9655;2366.555017;1276.229197;4;bati;F2;DIN
X-968;4620.504046;1372.597407;9;orta;F4;URT
X-97;1038.928865;1278.712787;1;bati;F1;URT
X-9745;5004.294555;884.0432867;8;dogu;F4;LOKT
X-9749;1732.310302;916.4856933;4;bati;F1;URT
X-9802;1192.811738;1495.78511;1;bati;F1;URT
X-9806;2436.793911;815.6503;4;bati;F2;INJSHI
X-9940;2949.751793;1110.77948;5;bati;F2;URT
X-9958;5304.804487;1009.776055;9;dogu;F4;URT
X-9964;3894.538818;1148.353;7;orta;F3;LOK
X-9977;5442.856865;1396.511182;9;dogu;F4;URT
X-9983;4305.772392;1420.34299;7;orta;F3;URT
;2448.537142;608.5393857;4;bati;F2;INJSHI
