Well;Date_;Daily_Water_Injection_bbl;Monthly_Water_Injection_bbl;Pwh_psi;Pan_psi;Liquid_level_in_anulus_m;Work_Days;Notes
X-900;1974-11-01;180.0;5422;100.0;0.0;;30;
X-900;1974-10-01;247.0;7685;500.0;0.0;;31;
X-900;1974-09-01;475.0;14272;360.0;0.0;;30;
X-900;1974-08-01;417.0;12944;480.0;0.0;;31;
X-900;1974-07-01;560.0;17368;120.0;0.0;;31;
X-900;1974-06-01;531.0;15950;100.0;0.0;;30;
X-900;1974-05-01;587.0;18227;540.0;0.0;;31;
X-900;1974-04-01;424.0;12726;120.0;0.0;;30;
X-900;1974-03-01;378.0;11734;0.0;0.0;;31;
X-900;1974-02-01;479.0;13424;0.0;0.0;;28;
X-900;1974-01-01;591.0;18325;0.0;0.0;;31;
X-900;1973-12-01;505.0;15684;0.0;0.0;;31;
X-900;1973-11-01;512.0;15378;0.0;0.0;;30;
X-900;1973-10-01;428.0;13270;0.0;0.0;;31;
X-900;1973-09-01;437.0;13121;0.0;0.0;;30;
X-900;1973-08-01;778.0;24131;100.0;0.0;;31;
X-3081;1973-07-01;536.0;16618;0.0;0.0;;31;
X-900;1973-07-01;609.0;18897;0.0;0.0;;31;
X-900;1973-06-01;688.0;20654;660.0;660.0;;30;
X-900;1973-05-01;596.0;18504;420.0;0.0;;31;
X-900;1973-04-01;823.0;24690;60.0;0.0;;30;
X-900;1973-03-01;745.0;23116;120.0;0.0;;31;
X-900;1973-02-01;719.0;20854;0.0;0.0;;29;
X-3081;1973-01-01;562.0;17440;0.0;0.0;;31;
X-900;1973-01-01;660.0;20470;0.0;0.0;;31;
X-3081;1972-12-01;504.0;15633;200.0;0.0;;31;
X-900;1972-12-01;488.0;15132;0.0;0.0;;31;
X-8953;1972-11-01;778.0;23340;0.0;0.0;;30;
X-3081;1972-11-01;548.0;16462;0.0;0.0;;30;
X-900;1972-11-01;623.0;18696;780.0;60.0;;30;
X-8953;1972-10-01;206.0;6406;0.0;0.0;;31;
X-3081;1972-10-01;225.0;6992;0.0;0.0;;31;
X-900;1972-10-01;490.0;15199;0.0;0.0;;31;
X-8953;1972-09-01;364.0;10933;0.0;0.0;;30;
X-3081;1972-09-01;349.0;10492;0.0;0.0;;30;
X-3947;1972-09-01;248.0;7454;0.0;0.0;;30;
X-900;1972-09-01;521.0;15632;0.0;0.0;;30;
X-8953;1972-08-01;434.0;13474;540.0;0.0;;31;
X-3081;1972-08-01;217.0;6728;520.0;0.0;;31;
X-3947;1972-08-01;265.0;8235;460.0;0.0;;31;
X-900;1972-08-01;453.0;14066;560.0;0.0;;31;
X-8953;1972-07-01;434.0;13474;80.0;0.0;;31;
X-3081;1972-07-01;217.0;6728;60.0;0.0;;31;
X-3947;1972-07-01;265.0;8235;380.0;0.0;;31;
X-900;1972-07-01;386.0;11985;140.0;0.0;;31;
X-8953;1972-06-01;461.0;13853;80.0;0.0;;30;
X-3081;1972-06-01;230.0;6927;60.0;0.0;;30;
X-3947;1972-06-01;281.0;8454;380.0;0.0;;30;
X-900;1972-06-01;410.0;12308;140.0;0.0;;30;
X-8953;1972-05-01;459.0;14243;80.0;0.0;;31;
X-3081;1972-05-01;229.0;7121;60.0;0.0;;31;
X-3947;1972-05-01;280.0;8710;380.0;0.0;;31;
X-900;1972-05-01;408.0;12654;140.0;0.0;;31;
X-8953;1972-04-01;373.0;11190;80.0;0.0;;30;
X-3081;1972-04-01;186.0;5602;60.0;0.0;;30;
X-3947;1972-04-01;228.0;6841;380.0;0.0;;30;
X-900;1972-04-01;331.0;9952;140.0;0.0;;30;
X-8953;1972-03-01;413.0;12824;80.0;0.0;;31;
X-3081;1972-03-01;207.0;6420;60.0;0.0;;31;
X-3947;1972-03-01;252.0;7840;380.0;0.0;;31;
X-900;1972-03-01;367.0;11404;140.0;0.0;;31;
X-8953;1972-02-01;394.0;11042;80.0;0.0;;28;
X-3081;1972-02-01;342.0;9594;60.0;0.0;;28;
X-3947;1972-02-01;221.0;6207;380.0;0.0;;28;
X-900;1972-02-01;418.0;11713;140.0;0.0;;28;
X-4079;1972-02-01;835.0;23403;0.0;0.0;;28;
X-1602;1972-02-01;378.0;10609;0.0;0.0;;28;
X-8953;1972-01-01;303.0;9393;80.0;0.0;;31;
X-3081;1972-01-01;326.0;10109;60.0;0.0;;31;
X-3947;1972-01-01;139.0;4330;380.0;0.0;;31;
X-900;1972-01-01;349.0;10825;140.0;0.0;;31;
X-1602;1972-01-01;465.0;14439;0.0;0.0;;31;
X-8953;1971-12-01;270.0;8380;80.0;0.0;;31;
X-3081;1971-12-01;119.0;3699;60.0;0.0;;31;
X-3947;1971-12-01;153.0;4762;380.0;0.0;;31;
X-900;1971-12-01;714.0;22155;140.0;0.0;;31;
X-1602;1971-12-01;114.0;3536;0.0;0.0;;31;
X-8953;1971-11-01;218.0;6543;80.0;0.0;;30;
X-3081;1971-11-01;96.0;2889;60.0;0.0;;30;
X-3947;1971-11-01;123.0;3719;380.0;0.0;;30;
X-900;1971-11-01;576.0;17306;140.0;0.0;;30;
X-1602;1971-11-01;92.0;2761;0.0;0.0;;30;
X-9199;1971-10-01;299.0;9285;300.0;0.0;;31;
X-3947;1971-10-01;698.0;21665;600.0;0.0;;31;
X-900;1971-10-01;816.0;25320;260.0;0.0;;31;
X-1602;1971-10-01;90.0;2799;0.0;0.0;;31;
X-9199;1971-09-01;371.0;11141;300.0;0.0;;30;
X-3947;1971-09-01;866.0;25996;600.0;0.0;;30;
X-900;1971-09-01;891.0;26734;260.0;0.0;;30;
X-1602;1971-09-01;111.0;3358;0.0;0.0;;30;
X-9199;1971-08-01;359.0;11141;300.0;0.0;;31;
X-3947;1971-08-01;838.0;25996;600.0;0.0;;31;
X-900;1971-08-01;980.0;30383;560.0;0.0;;31;
X-1602;1971-08-01;108.0;3358;0.0;0.0;;31;
X-9199;1971-07-01;651.0;20206;300.0;0.0;;31;
X-3947;1971-07-01;1520.0;47148;600.0;0.0;;31;
X-1602;1971-07-01;168.0;5231;0.0;0.0;;31;
X-9199;1971-06-01;577.0;17332;300.0;0.0;;30;
X-3947;1971-06-01;1773.0;53195;600.0;0.0;;30;
X-3947;1971-05-01;1137.0;35252;50.0;0.0;;31;
X-2556;1971-05-01;1122.0;34788;720.0;0.0;;31;
X-6566;1971-05-01;552.0;17135;680.0;0.0;;31;
X-3947;1971-04-01;1187.0;35615;0.0;0.0;;30;
X-2556;1971-04-01;1171.0;35147;0.0;0.0;;30;
X-6566;1971-04-01;577.0;17312;0.0;0.0;;30;
X-3947;1971-03-01;1233.0;38238;50.0;0.0;;31;
X-2556;1971-03-01;1217.0;37735;720.0;0.0;;31;
X-6566;1971-03-01;599.0;18587;0.0;0.0;;31;
X-3947;1971-02-01;1152.0;32277;50.0;0.0;;28;
