Well;Date_;Daily_Water_Injection_bbl;Monthly_Water_Injection_bbl;Pwh_psi;Pan_psi;Liquid_level_in_anulus_m;Work_Days;Notes
X-3081;1966-07-01;611.0;18950;0.0;0.0;;31;
X-9199;1966-07-01;437.0;13551;0.0;0.0;;31;
X-6566;1966-07-01;916.0;28425;0.0;0.0;;31;
X-8953;1966-06-01;1073.0;32194;0.0;0.0;;30;
X-3081;1966-06-01;602.0;18082;0.0;0.0;;30;
X-9199;1966-06-01;430.0;12925;0.0;0.0;;30;
X-6566;1966-06-01;1294.0;38842;0.0;0.0;;30;
X-8953;1966-05-01;643.0;19962;0.0;0.0;;31;
X-3081;1966-05-01;643.0;19962;0.0;0.0;;31;
X-9199;1966-05-01;431.0;13361;0.0;0.0;;31;
X-6566;1966-05-01;1286.0;39889;0.0;0.0;;31;
X-8953;1966-04-01;527.0;15832;0.0;0.0;;30;
X-3081;1966-04-01;527.0;15832;0.0;0.0;;30;
X-9199;1966-04-01;351.0;10555;0.0;0.0;;30;
X-6566;1966-04-01;1096.0;32890;0.0;0.0;;30;
X-8953;1966-03-01;471.0;14608;0.0;0.0;;31;
X-3081;1966-03-01;471.0;14608;0.0;0.0;;31;
X-9199;1966-03-01;314.0;9738;0.0;0.0;;31;
X-6566;1966-03-01;930.0;28855;0.0;0.0;;31;
X-8953;1966-02-01;460.0;12888;0.0;0.0;;28;
X-3081;1966-02-01;460.0;12888;0.0;0.0;;28;
X-9199;1966-02-01;306.0;8592;0.0;0.0;;28;
X-6566;1966-02-01;690.0;19332;0.0;0.0;;28;
X-8953;1966-01-01;417.0;12932;0.0;0.0;;31;
X-3081;1966-01-01;417.0;12932;0.0;0.0;;31;
X-9199;1966-01-01;278.0;8621;0.0;0.0;;31;
X-6566;1966-01-01;625.0;19398;0.0;0.0;;31;
X-8953;1965-12-01;453.0;14046;0.0;0.0;;31;
X-3081;1965-12-01;453.0;14046;0.0;0.0;;31;
X-9199;1965-12-01;302.0;9364;0.0;0.0;;31;
X-6566;1965-12-01;679.0;21069;0.0;0.0;;31;
X-8953;1965-11-01;514.0;15427;0.0;0.0;;30;
X-3081;1965-11-01;514.0;15427;0.0;0.0;;30;
X-9199;1965-11-01;342.0;10285;0.0;0.0;;30;
X-6566;1965-11-01;771.0;23141;0.0;0.0;;30;
X-8953;1965-10-01;459.0;14248;0.0;0.0;;31;
X-3081;1965-10-01;459.0;14248;0.0;0.0;;31;
X-9199;1965-10-01;306.0;9499;0.0;0.0;;31;
X-6566;1965-10-01;689.0;21372;0.0;0.0;;31;
X-8953;1965-09-01;427.0;12839;0.0;0.0;;30;
X-3081;1965-09-01;427.0;12839;0.0;0.0;;30;
X-9199;1965-09-01;285.0;8560;0.0;0.0;;30;
X-6566;1965-09-01;641.0;19259;0.0;0.0;;30;
X-8953;1965-08-01;379.0;11762;0.0;0.0;;31;
X-3081;1965-08-01;379.0;11762;0.0;0.0;;31;
X-9199;1965-08-01;252.0;7841;0.0;0.0;;31;
X-6566;1965-08-01;569.0;17642;0.0;0.0;;31;
X-8953;1965-07-01;392.0;12152;0.0;0.0;;31;
X-3081;1965-07-01;392.0;12152;0.0;0.0;;31;
X-9199;1965-07-01;261.0;8102;0.0;0.0;;31;
X-6566;1965-07-01;588.0;18229;0.0;0.0;;31;
X-8953;1965-06-01;399.0;11972;0.0;0.0;;30;
X-3081;1965-06-01;399.0;11972;0.0;0.0;;30;
X-9199;1965-06-01;266.0;7981;0.0;0.0;;30;
X-6566;1965-06-01;598.0;17958;0.0;0.0;;30;
X-8953;1965-05-01;379.0;11768;0.0;0.0;;31;
X-3081;1965-05-01;379.0;11768;0.0;0.0;;31;
X-9199;1965-05-01;59.0;1846;0.0;0.0;;31;
X-6566;1965-05-01;569.0;17652;0.0;0.0;;31;
X-8953;1965-04-01;380.0;11403;0.0;0.0;;30;
X-3081;1965-04-01;380.0;11403;0.0;0.0;;30;
X-9199;1965-04-01;253.0;7602;0.0;0.0;;30;
X-6566;1965-04-01;570.0;17104;0.0;0.0;;30;
X-8953;1965-03-01;372.0;11541;0.0;0.0;;31;
X-3081;1965-03-01;372.0;11541;0.0;0.0;;31;
X-9199;1965-03-01;248.0;7694;0.0;0.0;;31;
X-6566;1965-03-01;558.0;17311;0.0;0.0;;31;
X-8953;1965-02-01;326.0;9454;0.0;0.0;;29;
X-3081;1965-02-01;326.0;9454;0.0;0.0;;29;
X-9199;1965-02-01;217.0;6303;0.0;0.0;;29;
X-6566;1965-02-01;489.0;14181;0.0;0.0;;29;
X-8953;1965-01-01;301.0;9337;0.0;0.0;;31;
X-3081;1965-01-01;301.0;9337;0.0;0.0;;31;
X-9199;1965-01-01;200.0;6225;0.0;0.0;;31;
X-6566;1965-01-01;451.0;14005;0.0;0.0;;31;
X-8953;1964-12-01;317.0;9835;0.0;0.0;;31;
X-3081;1964-12-01;317.0;9835;0.0;0.0;;31;
X-9199;1964-12-01;211.0;6556;0.0;0.0;;31;
X-6566;1964-12-01;475.0;14752;0.0;0.0;;31;
X-8953;1964-11-01;372.0;11187;0.0;0.0;;30;
X-3081;1964-11-01;372.0;11187;0.0;0.0;;30;
X-9199;1964-11-01;248.0;7458;0.0;0.0;;30;
X-6566;1964-11-01;559.0;16780;0.0;0.0;;30;
X-8953;1964-10-01;381.0;11815;0.0;0.0;;31;
X-3081;1964-10-01;381.0;11815;0.0;0.0;;31;
X-9199;1964-10-01;254.0;7877;0.0;0.0;;31;
X-6566;1964-10-01;571.0;17723;0.0;0.0;;31;
X-8953;1964-09-01;369.0;11088;0.0;0.0;;30;
X-3081;1964-09-01;369.0;11088;0.0;0.0;;30;
X-9199;1964-09-01;246.0;7392;0.0;0.0;;30;
X-6566;1964-09-01;554.0;16631;0.0;0.0;;30;
X-8953;1964-08-01;441.0;13678;0.0;0.0;;31;
X-3081;1964-08-01;441.0;13678;0.0;0.0;;31;
X-9199;1964-08-01;294.0;9119;0.0;0.0;;31;
X-6566;1964-08-01;661.0;20517;0.0;0.0;;31;
X-8953;1964-07-01;405.0;12562;0.0;0.0;;31;
X-3081;1964-07-01;405.0;12562;0.0;0.0;;31;
X-9199;1964-07-01;270.0;8375;0.0;0.0;;31;
X-6566;1964-07-01;607.0;18843;0.0;0.0;;31;
X-8953;1964-06-01;392.0;11780;0.0;0.0;;30;
X-3081;1964-06-01;392.0;11780;0.0;0.0;;30;
X-9199;1964-06-01;261.0;7853;0.0;0.0;;30;
X-6566;1964-06-01;589.0;17670;0.0;0.0;;30;
X-8953;1964-05-01;443.0;13761;0.0;0.0;;31;
X-3081;1964-05-01;443.0;13761;0.0;0.0;;31;
X-9199;1964-05-01;295.0;9174;0.0;0.0;;31;
X-6566;1964-05-01;665.0;20641;0.0;0.0;;31;
X-6566;1964-04-01;1140.0;34221;0.0;0.0;;30;
X-5802;1964-04-01;760.0;22814;0.0;0.0;;30;
X-6566;1964-03-01;1058.0;32810;0.0;0.0;;31;
X-5802;1964-03-01;705.0;21874;0.0;0.0;;31;
X-6566;1964-02-01;935.0;26195;0.0;0.0;;28;
X-5802;1964-02-01;623.0;17464;0.0;0.0;;28;
X-6566;1964-01-01;959.0;29746;0.0;0.0;;31;
X-5802;1964-01-01;639.0;19830;0.0;0.0;;31;
X-6566;1963-12-01;947.0;29387;0.0;0.0;;31;
X-5802;1963-12-01;631.0;19591;0.0;0.0;;31;
X-6566;1963-11-01;929.0;27899;0.0;0.0;;30;
X-5802;1963-11-01;619.0;18599;0.0;0.0;;30;
X-6566;1963-10-01;1047.0;32486;0.0;0.0;;31;
X-5802;1963-10-01;698.0;21657;0.0;0.0;;31;
X-6566;1963-09-01;1327.0;39810;0.0;0.0;;30;
X-5802;1963-09-01;884.0;26540;0.0;0.0;;30;
X-6566;1963-08-01;1183.0;36702;0.0;0.0;;31;
X-5802;1963-08-01;789.0;24468;0.0;0.0;;31;
X-6566;1963-07-01;1175.0;36436;0.0;0.0;;31;
X-5802;1963-07-01;783.0;24291;0.0;0.0;;31;
X-6566;1963-06-01;1249.0;37471;0.0;0.0;;30;
X-5802;1963-06-01;832.0;24981;0.0;0.0;;30;
X-6566;1963-05-01;1008.0;31269;0.0;0.0;;31;
X-5802;1963-05-01;672.0;20846;0.0;0.0;;31;
X-6566;1963-04-01;1041.0;31250;0.0;0.0;;30;
X-5802;1963-04-01;694.0;20833;0.0;0.0;;30;
X-6566;1963-03-01;723.0;22434;0.0;0.0;;31;
X-5802;1963-03-01;1085.0;33651;0.0;0.0;;31;
X-6566;1963-02-01;550.0;15419;0.0;0.0;;28;
X-5802;1963-02-01;826.0;23129;0.0;0.0;;28;
X-6566;1963-01-01;887.0;27520;0.0;0.0;;31;
X-5802;1963-01-01;1331.0;41280;0.0;0.0;;31;
X-6566;1962-12-01;559.0;17342;0.0;0.0;;31;
X-5802;1962-12-01;839.0;26013;0.0;0.0;;31;
X-6566;1962-11-01;533.0;16002;0.0;0.0;;30;
X-5802;1962-11-01;800.0;24003;0.0;0.0;;30;
X-6566;1962-10-01;460.0;14272;0.0;0.0;;31;
X-5802;1962-10-01;690.0;21408;0.0;0.0;;31;
X-6566;1962-09-01;532.0;15983;0.0;0.0;;30;
X-5802;1962-09-01;799.0;23974;0.0;0.0;;30;
X-6566;1962-08-01;613.0;19011;0.0;0.0;;31;
X-5802;1962-08-01;919.0;28517;0.0;0.0;;31;
X-6566;1962-07-01;528.0;16392;0.0;0.0;;31;
X-5802;1962-07-01;793.0;24589;0.0;0.0;;31;
X-6566;1962-06-01;964.0;28937;0.0;0.0;;30;
X-6566;1962-05-01;1130.0;35041;0.0;0.0;;31;
X-6566;1962-04-01;964.0;28937;0.0;0.0;;30;
X-6566;1962-03-01;791.0;24536;0.0;0.0;;31;
X-6566;1962-02-01;768.0;21520;0.0;0.0;;28;
X-6566;1962-01-01;705.0;21856;0.0;0.0;;31;
X-6566;1961-12-01;874.0;27121;0.0;0.0;;31;
X-6566;1961-11-01;948.0;28450;0.0;0.0;;30;
X-6566;1961-10-01;942.0;29232;0.0;0.0;;31;
X-6566;1961-09-01;718.0;21565;0.0;0.0;;30;
X-6566;1961-08-01;688.0;21332;0.0;0.0;;31;
X-6566;1961-07-01;1060.0;32877;0.0;0.0;;31;
X-6566;1961-06-01;662.0;19884;0.0;0.0;;30;
X-6566;1961-05-01;646.0;20029;0.0;0.0;;31;
X-6566;1961-04-01;1113.0;33403;0.0;0.0;;30;
X-6566;1961-03-01;1074.0;33312;0.0;0.0;;31;
X-6566;1961-02-01;652.0;18909;0.0;0.0;;29;
X-6566;1961-01-01;587.0;18224;0.0;0.0;;31;
X-6566;1960-12-01;514.0;15957;0.0;0.0;;31;
X-6566;1960-11-01;424.0;12732;0.0;0.0;;30;
X-6566;1960-10-01;514.0;15957;0.0;0.0;;31;
X-6566;1960-09-01;582.0;17484;220.0;0.0;;30;
X-6566;1960-08-01;716.0;22215;0.0;0.0;;31;
X-6566;1960-07-01;729.0;22623;0.0;0.0;;31;
X-6566;1960-06-01;2548.0;76455;200.0;0.0;;30;
X-6566;1960-05-01;1271.0;39423;;206.0;;31;
X-6566;1960-04-01;703.0;21096;;206.0;;30;
X-6566;1960-03-01;928.0;28769;;0.0;;31;
X-6566;1960-02-01;864.0;24193;240.0;206.0;;28;
X-6566;1960-01-01;741.0;22974;240.0;206.0;;31;
X-6566;1959-12-01;580.0;17986;240.0;206.0;;31;
X-6566;1959-11-01;694.0;20830;240.0;206.0;;30;
X-6566;1959-09-01;805.0;24171;240.0;;;30;
X-6566;1959-08-01;921.0;28555;240.0;;;31;
X-6566;1959-07-01;871.0;27024;240.0;;;31;
X-6566;1959-06-01;825.0;24757;240.0;;;30;
X-6566;1959-05-01;565.0;17541;240.0;;;31;
X-6566;1959-04-01;620.0;18623;240.0;0.0;;30;
X-6566;1959-03-01;600.0;18626;240.0;;;31;
X-6566;1959-02-01;375.0;10523;250.0;;;28;
X-6566;1959-01-01;337.0;10459;240.0;;;31;
X-6566;1958-12-01;500.0;15516;280.0;0.0;;31;
X-6566;1958-11-01;592.0;17773;270.0;0.0;;30;
X-6566;1958-10-01;476.0;14764;250.0;0.0;;31;
X-6566;1958-09-01;646.0;19409;0.0;0.0;;30;
X-6566;1958-08-01;602.0;18675;0.0;0.0;;31;
X-6566;1958-07-01;654.0;20280;0.0;0.0;;31;
X-6566;1958-06-01;651.0;19540;0.0;0.0;;30;
X-6566;1958-05-01;510.0;15839;0.0;0.0;;31;
X-6566;1958-04-01;493.0;14819;0.0;0.0;;30;
X-6566;1958-03-01;426.0;13231;0.0;0.0;;31;
X-6566;1958-02-01;518.0;14504;0.0;0.0;;28;
X-6566;1958-01-01;512.0;15901;0.0;0.0;;31;
X-6566;1957-12-01;569.0;17646;0.0;0.0;;31;
X-6566;1957-11-01;627.0;18826;0.0;0.0;;30;
X-6566;1957-10-01;577.0;17888;0.0;0.0;;31;
X-6566;1957-09-01;731.0;21948;0.0;0.0;;30;
X-6566;1957-08-01;698.0;21655;0.0;0.0;;31;
X-6566;1957-07-01;662.0;20552;0.0;0.0;;31;
X-6566;1957-06-01;547.0;16435;0.0;0.0;;30;
X-6566;1957-05-01;461.0;14298;0.0;0.0;;31;
X-6566;1957-04-01;544.0;16338;0.0;0.0;;30;
X-6566;1957-03-01;556.0;17266;0.0;0.0;;31;
X-6566;1957-02-01;430.0;12490;0.0;0.0;;29;
X-6566;1956-12-01;556.0;17266;0.0;0.0;;31;
X-6566;1956-02-01;725.0;20310;0.0;0.0;;28;
X-6566;1956-01-01;596.0;18486;0.0;0.0;;31;
X-6566;1955-12-01;568.0;17637;0.0;0.0;;31;
X-6566;1955-11-01;646.0;19394;0.0;0.0;;30;
X-6566;1955-10-01;605.0;18777;0.0;0.0;;31;
X-6566;1955-09-01;653.0;19602;0.0;0.0;;30;
X-6566;1955-08-01;580.0;18007;0.0;0.0;;31;
X-6566;1955-07-01;600.0;18617;0.0;0.0;;31;
X-6566;1955-06-01;648.0;19450;0.0;0.0;;30;
X-6566;1955-05-01;513.0;15909;0.0;0.0;;31;
X-6566;1955-04-01;487.0;14621;0.0;0.0;;30;
X-6566;1955-03-01;454.0;14078;0.0;0.0;;31;
X-6566;1955-02-01;387.0;10847;0.0;0.0;;28;
X-6566;1955-01-01;331.0;10262;0.0;0.0;;31;
X-6566;1954-12-01;933.0;28929;0.0;0.0;;31;
X-6566;1954-11-01;612.0;18382;0.0;0.0;;30;
X-6566;1954-10-01;505.0;15658;0.0;0.0;;31;
X-6566;1954-09-01;408.0;12263;0.0;0.0;;30;
X-6566;1954-08-01;432.0;13400;0.0;0.0;;31;
X-6566;1954-07-01;420.0;13033;0.0;0.0;;31;
X-6566;1954-06-01;488.0;14657;0.0;0.0;;30;
X-6566;1954-05-01;555.0;17217;0.0;0.0;;31;
X-6566;1954-04-01;473.0;14206;0.0;0.0;;30;
X-6566;1954-02-01;225.0;6319;0.0;0.0;;28;
X-6566;1954-01-01;229.0;7117;0.0;0.0;;31;
X-6566;1953-12-01;422.0;13104;0.0;0.0;;31;
X-6566;1953-11-01;493.0;14805;0.0;0.0;;30;
X-6566;1953-10-01;672.0;20840;0.0;0.0;;31;
X-6566;1953-09-01;242.0;7277;0.0;0.0;;30;
X-6566;1953-08-01;783.0;24284;0.0;0.0;;31;
X-6566;1953-07-01;736.0;22844;0.0;0.0;;31;
